project,stage,subject,record,file,matrix,matrix_path,band,components,absolute_components,n_components,classifier,cv_method,cv_splits,cv_test_size,cv_tested_epochs,accuracy,balanced_accuracy,brier_score,component_score_values,mean_score,comp_set_score,final_score_method,rank_within_file,rank_global,probability_plot
pr_Agency_EBCI,test,05_19 Darisy,01_calib,test/05_19 Darisy/01_calib,"MATRIX_[10, 14]_robust_concat_01_calib.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\05_19 Darisy\MATRIX_[10, 14]_robust_concat_01_calib.hdf","[10, 14]","[0, -1]","[0, 55]",2,lda,time_series_by_class,3,5,30,0.7333333333333333,0.7333333333333334,0.18499754162247348,"[3.231301247361277, 2.084855168726934]",2.658078208044105,4.038906873516781,final_score_2,1,1,"results\algorithm\_cv_smoke_05_19_Darisy\probability_plots\final_score_2\test_05_19_Darisy_01_calib\top_01_[10,_14]_[0,_-1].png"
pr_Agency_EBCI,test,05_19 Darisy,01_calib,test/05_19 Darisy/01_calib,"MATRIX_[9, 13]_robust_concat_01_calib.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\05_19 Darisy\MATRIX_[9, 13]_robust_concat_01_calib.hdf","[9, 13]","[0, -1]","[0, 55]",2,lda,time_series_by_class,3,5,30,0.8,0.8,0.16887494099494432,"[2.7125725134279324, 1.7436869331115028]",2.2281297232697175,3.4361975401075413,final_score_2,2,2,
pr_Agency_EBCI,test,05_19 Darisy,01_calib,test/05_19 Darisy/01_calib,"MATRIX_[10, 14]_robust_concat_01_calib.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\05_19 Darisy\MATRIX_[10, 14]_robust_concat_01_calib.hdf","[10, 14]","[0, 2]","[0, 2]",2,lda,time_series_by_class,3,5,30,0.7666666666666667,0.7666666666666666,0.16238986906617212,"[3.231301247361277, 1.128199543764763]",2.17975039556302,3.382736782119538,final_score_2,3,3,
pr_Agency_EBCI,test,05_19 Darisy,01_calib,test/05_19 Darisy/01_calib,"MATRIX_[10, 14]_robust_concat_01_calib.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\05_19 Darisy\MATRIX_[10, 14]_robust_concat_01_calib.hdf","[10, 14]","[0, 1, -1]","[0, 1, 55]",3,lda,time_series_by_class,3,5,30,0.9,0.9,0.06427985768336437,"[3.231301247361277, 0.4491556461467016, 2.084855168726934]",1.9217706874116374,3.376115868506842,final_score_2,4,4,
pr_Agency_EBCI,test,05_19 Darisy,01_calib,test/05_19 Darisy/01_calib,"MATRIX_[10, 14]_robust_concat_01_calib.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\05_19 Darisy\MATRIX_[10, 14]_robust_concat_01_calib.hdf","[10, 14]","[0, 1]","[0, 1]",2,lda,time_series_by_class,3,5,30,0.9,0.9,0.05255202167572278,"[3.231301247361277, 0.4491556461467016]",1.8402284467539893,3.297534893595144,final_score_2,5,5,
pr_Agency_EBCI,test,05_19 Darisy,01_calib,test/05_19 Darisy/01_calib,"MATRIX_[10, 14]_robust_concat_01_calib.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\05_19 Darisy\MATRIX_[10, 14]_robust_concat_01_calib.hdf","[10, 14]","[0, 2, -1]","[0, 2, 55]",3,lda,time_series_by_class,3,5,30,0.7666666666666667,0.7666666666666666,0.17513899533448324,"[3.231301247361277, 1.128199543764763, 2.084855168726934]",2.1481186532843246,3.293357447437947,final_score_2,6,6,
pr_Agency_EBCI,test,05_19 Darisy,01_calib,test/05_19 Darisy/01_calib,"MATRIX_[8, 12]_robust_concat_01_calib.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\05_19 Darisy\MATRIX_[8, 12]_robust_concat_01_calib.hdf","[8, 12]","[0, -1]","[0, 55]",2,lda,time_series_by_class,3,5,30,0.7666666666666667,0.7666666666666666,0.19938847596505266,"[2.460065315994436, 1.7318814937937523]",2.095973404894094,3.145564733151395,final_score_2,7,7,
pr_Agency_EBCI,test,05_19 Darisy,01_calib,test/05_19 Darisy/01_calib,"MATRIX_[10, 14]_robust_concat_01_calib.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\05_19 Darisy\MATRIX_[10, 14]_robust_concat_01_calib.hdf","[10, 14]","[0, -2, -1]","[0, 54, 55]",3,lda,time_series_by_class,3,5,30,0.8,0.8,0.16868844899205945,"[3.231301247361277, 0.6062528737298105, 2.084855168726934]",1.9741364299393405,3.045033245576685,final_score_2,8,8,
pr_Agency_EBCI,test,05_19 Darisy,01_calib,test/05_19 Darisy/01_calib,"MATRIX_[10, 14]_robust_concat_01_calib.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\05_19 Darisy\MATRIX_[10, 14]_robust_concat_01_calib.hdf","[10, 14]","[0, -2]","[0, 54]",2,lda,time_series_by_class,3,5,30,0.7666666666666667,0.7666666666666666,0.16176972218561775,"[3.231301247361277, 0.6062528737298105]",1.9187770605455436,2.979549669681171,final_score_2,9,9,
pr_Agency_EBCI,test,05_19 Darisy,01_calib,test/05_19 Darisy/01_calib,"MATRIX_[10, 14]_robust_concat_01_calib.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\05_19 Darisy\MATRIX_[10, 14]_robust_concat_01_calib.hdf","[10, 14]","[0, -3, -1]","[0, 53, 55]",3,lda,time_series_by_class,3,5,30,0.8,0.8,0.15962554913671945,"[3.231301247361277, 0.3988898286090431, 2.084855168726934]",1.9050154148990845,2.9644592833739862,final_score_2,10,10,
pr_Agency_EBCI,test,05_19 Darisy,01_calib,test/05_19 Darisy/01_calib,"MATRIX_[8, 12]_robust_concat_01_calib.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\05_19 Darisy\MATRIX_[8, 12]_robust_concat_01_calib.hdf","[8, 12]","[0, 1]","[0, 1]",2,lda,time_series_by_class,3,5,30,0.8333333333333334,0.8333333333333333,0.16595926687677762,"[2.460065315994436, 1.3199709886265507]",1.8900181523104935,2.922929912376339,final_score_2,11,11,
