project,stage,subject,record,file,matrix,matrix_path,band,components,absolute_components,n_components,classifier,cv_method,cv_splits,cv_test_size,cv_tested_epochs,accuracy,balanced_accuracy,brier_score,final_score_1_component_scores,final_score_1_mean_score,final_score_1_comp_set_score,final_score_2_component_scores,final_score_2_mean_score,final_score_2_comp_set_score,final_score_3_component_scores,final_score_3_mean_score,final_score_3_comp_set_score,final_score_4_component_scores,final_score_4_mean_score,final_score_4_comp_set_score,final_score_5_component_scores,final_score_5_mean_score,final_score_5_comp_set_score
pr_Agency_EBCI,test,03_23 Artem,01_calib,test/03_23 Artem/01_calib,"MATRIX_[10, 14]_robust_concat_01_calib.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\03_23 Artem\MATRIX_[10, 14]_robust_concat_01_calib.hdf","[10, 14]","[0, 1]","[0, 1]",2,lda,time_series_by_class,3,5,30,0.8666666666666667,0.8666666666666667,0.09462209597645369,"[0.1292839428178324, 0.1309469423021856]",0.130115442560009,0.373232338193508,"[0.552060817435389, 0.5517503975128552]",0.5519056074741221,1.5831250794437657,"[0.881314833046183, 0.9511790501815698]",0.9162469416138763,2.6282275312823096,"[0.0, 0.3065343581293291]",0.15326717906466455,0.4396424166504704,"[0.0, 0.3150433619747771]",0.15752168098738856,0.45184633087636794
pr_Agency_EBCI,test,03_23 Artem,01_calib,test/03_23 Artem/01_calib,"MATRIX_[10, 14]_robust_concat_01_calib.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\03_23 Artem\MATRIX_[10, 14]_robust_concat_01_calib.hdf","[10, 14]","[0, 2]","[0, 2]",2,lda,time_series_by_class,3,5,30,0.9,0.9,0.07310067273408463,"[0.1292839428178324, 0.1339208711417648]",0.13160240697979858,0.4681452361852016,"[0.552060817435389, 0.5597591467947923]",0.5559099821150907,1.9775216566892204,"[0.881314833046183, 1.025176845013127]",0.953245839029655,3.3909524050240245,"[0.0, 0.348921835982471]",0.1744609179912355,0.620604512732287,"[0.0, 0.355397193930869]",0.1776985969654345,0.6321218095876623
pr_Agency_EBCI,test,03_23 Artem,01_calib,test/03_23 Artem/01_calib,"MATRIX_[10, 14]_robust_concat_01_calib.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\03_23 Artem\MATRIX_[10, 14]_robust_concat_01_calib.hdf","[10, 14]","[0, -3]","[0, 53]",2,lda,time_series_by_class,3,5,30,0.7333333333333333,0.7333333333333334,0.21742541873433774,"[0.1292839428178324, 0.0904571215109798]",0.10987053216440609,0.09230040274559198,"[0.552060817435389, 0.384218862655548]",0.4681398400454685,0.3932764766515985,"[0.881314833046183, 0.6364116415814078]",0.7588632373137953,0.6375083569093558,"[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",0.0,0.0
pr_Agency_EBCI,test,03_23 Artem,01_calib,test/03_23 Artem/01_calib,"MATRIX_[10, 14]_robust_concat_01_calib.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\03_23 Artem\MATRIX_[10, 14]_robust_concat_01_calib.hdf","[10, 14]","[0, -2]","[0, 54]",2,lda,time_series_by_class,3,5,30,0.8666666666666667,0.8666666666666667,0.1072877957213417,"[0.1292839428178324, 0.1194300960555212]",0.12435701943667679,0.31427822500297337,"[0.552060817435389, 0.5110497133538584]",0.5315552653946237,1.3433599973363195,"[0.881314833046183, 0.8005148653133183]",0.8409148491797507,2.125181412163295,"[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",0.0,0.0
pr_Agency_EBCI,test,03_23 Artem,01_calib,test/03_23 Artem/01_calib,"MATRIX_[10, 14]_robust_concat_01_calib.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\03_23 Artem\MATRIX_[10, 14]_robust_concat_01_calib.hdf","[10, 14]","[0, -1]","[0, 55]",2,lda,time_series_by_class,3,5,30,0.9,0.9,0.06622153483915219,"[0.1292839428178324, 0.1730273143279738]",0.1511556285729031,0.5759924831167125,"[0.552060817435389, 0.7575220224846657]",0.6547914199600273,2.4951431810188303,"[0.881314833046183, 1.07073689032196]",0.9760258616840716,3.719236689796129,"[0.0, 0.7647874862240008]",0.3823937431120004,1.4571466752701496,"[0.0, 0.8119033240878571]",0.4059516620439286,1.5469163011238043
pr_Agency_EBCI,test,03_23 Artem,01_calib,test/03_23 Artem/01_calib,"MATRIX_[10, 14]_robust_concat_01_calib.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\03_23 Artem\MATRIX_[10, 14]_robust_concat_01_calib.hdf","[10, 14]","[1, 2]","[1, 2]",2,lda,time_series_by_class,3,5,30,0.9666666666666667,0.9666666666666667,0.025662838465019912,"[0.1309469423021856, 0.1339208711417648]",0.1324339067219752,0.7570696969396462,"[0.5517503975128552, 0.5597591467947923]",0.5557547721538237,3.1770194457114953,"[0.9511790501815698, 1.025176845013127]",0.9881779475973483,5.6490033242055535,"[0.3065343581293291, 0.348921835982471]",0.32772809705590006,1.873485554100527,"[0.3150433619747771, 0.355397193930869]",0.33522027795282305,1.9163152437279594
pr_Agency_EBCI,test,03_23 Artem,01_calib,test/03_23 Artem/01_calib,"MATRIX_[10, 14]_robust_concat_01_calib.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\03_23 Artem\MATRIX_[10, 14]_robust_concat_01_calib.hdf","[10, 14]","[1, -3]","[1, 53]",2,lda,time_series_by_class,3,5,30,0.8333333333333334,0.8333333333333333,0.10491525201067242,"[0.1309469423021856, 0.0904571215109798]",0.1107020319065827,0.28648600148146053,"[0.5517503975128552, 0.384218862655548]",0.46798463008420155,1.2110983251033807,"[0.9511790501815698, 0.6364116415814078]",0.7937953458814888,2.0542645037273073,"[0.3065343581293291, 0.0]",0.15326717906466455,0.3966404277532308,"[0.3150433619747771, 0.0]",0.15752168098738856,0.40765066146931045
pr_Agency_EBCI,test,03_23 Artem,01_calib,test/03_23 Artem/01_calib,"MATRIX_[10, 14]_robust_concat_01_calib.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\03_23 Artem\MATRIX_[10, 14]_robust_concat_01_calib.hdf","[10, 14]","[1, -2]","[1, 54]",2,lda,time_series_by_class,3,5,30,0.9666666666666667,0.9666666666666667,0.027260168117715627,"[0.1309469423021856, 0.1194300960555212]",0.1251885191788534,0.7043103333424049,"[0.5517503975128552, 0.5110497133538584]",0.5314000554333568,2.9896555421805884,"[0.9511790501815698, 0.8005148653133183]",0.875846957747444,4.927513056422779,"[0.3065343581293291, 0.0]",0.15326717906466455,0.8622808120548346,"[0.3150433619747771, 0.0]",0.15752168098738856,0.886216630507313
pr_Agency_EBCI,test,03_23 Artem,01_calib,test/03_23 Artem/01_calib,"MATRIX_[10, 14]_robust_concat_01_calib.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\03_23 Artem\MATRIX_[10, 14]_robust_concat_01_calib.hdf","[10, 14]","[1, -1]","[1, 55]",2,lda,time_series_by_class,3,5,30,0.8666666666666667,0.8666666666666667,0.08657321000411874,"[0.1309469423021856, 0.1730273143279738]",0.1519871283150797,0.4725122795594547,"[0.5517503975128552, 0.7575220224846657]",0.6546362099987604,2.0351963439129337,"[0.9511790501815698, 1.07073689032196]",1.010957970251765,3.1429638835742506,"[0.3065343581293291, 0.7647874862240008]",0.5356609221766649,1.6653144658665358,"[0.3150433619747771, 0.8119033240878571]",0.5634733430313171,1.7517804088959674
pr_Agency_EBCI,test,03_23 Artem,01_calib,test/03_23 Artem/01_calib,"MATRIX_[10, 14]_robust_concat_01_calib.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\03_23 Artem\MATRIX_[10, 14]_robust_concat_01_calib.hdf","[10, 14]","[2, -3]","[2, 53]",2,lda,time_series_by_class,3,5,30,0.8333333333333334,0.8333333333333333,0.11727341713699929,"[0.1339208711417648, 0.0904571215109798]",0.1121889963263723,0.25658262691299,"[0.5597591467947923, 0.384218862655548]",0.47198900472517014,1.07946574683781,"[1.025176845013127, 0.6364116415814078]",0.8307942432972674,1.9000737714888822,"[0.348921835982471, 0.0]",0.1744609179912355,0.3990020598956042,"[0.355397193930869, 0.0]",0.1776985969654345,0.4064068161863569
