project,stage,subject,record,matrix,band,component,component_1based,selected_order,edge_group,eigenvalue,matrix_path,epochs_path,gof,rv,x_mm,y_mm,z_mm,ori_x,ori_y,ori_z,amplitude,fit_error,dist_left_M1_mm,in_left_M1,dist_left_S1_mm,in_left_S1,dist_SMA_mm,in_SMA,dist_left_PMd_mm,in_left_PMd,dist_right_M1_mm,in_right_M1,dist_right_S1_mm,in_right_S1,dist_right_PMd_mm,in_right_PMd,roi_names,roi_count,roi_weights,best_roi,best_roi_weight,nearest_roi,nearest_roi_dist_mm
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",0,1,0,first5,0.08169990370195768,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\01TG\EPOCHS_im_rec_calib.hdf,52.34305355519644,47.65694644480356,-54.89259433333587,1.9295988371631092,46.20448636751273,0.6125365120507628,0.6522591195480424,-0.44649419074731317,0.00030030941682482126,,33.54439303109313,True,34.91856596154083,True,56.70281820347829,False,30.294564700100967,True,95.02504873887102,False,102.18249408196544,False,84.05790394544834,False,left_M1;left_S1;left_PMd,3,1;0.8;0.6,left_M1,1.0,left_PMd,30.294564700100967
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",1,2,1,first5,0.2939375417296316,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\01TG\EPOCHS_im_rec_calib.hdf,18.712944799151288,81.28705520084871,-2.1268041911190414,-8.070339054694816,84.46935402967678,0.8481942118073951,-0.524987522294767,-0.07038949134091757,7.372513234363108e-05,,47.028200167625435,False,55.90206368546597,False,26.635245495717182,True,38.46987558875625,False,50.17879447064654,False,59.01138727738819,False,41.450372703025444,False,SMA,1,0.7,SMA,0.7,SMA,26.635245495717182
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",2,3,2,first5,0.3437226712206262,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\01TG\EPOCHS_im_rec_calib.hdf,53.673286615145535,46.326713384854465,-56.57195474316408,2.93044731313985,63.31141426196923,0.7928784001650369,-0.606726186360457,0.05680825059995808,0.0001007044809633957,,34.66858942833873,True,37.74525556790128,False,57.51825861530946,False,31.45294985881085,True,96.6864653194352,False,104.54086624252615,False,85.58824093329203,False,left_M1;left_PMd,2,1;0.6,left_M1,1.0,left_PMd,31.45294985881085
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",3,4,3,first5,0.358125403921678,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\01TG\EPOCHS_im_rec_calib.hdf,53.20258953117718,46.79741046882282,-40.271925508496764,18.57266424650309,62.11137252071092,-0.7213423406566452,-0.4338435461155605,0.5398564671001618,0.00011888475347647679,,43.22071219545704,False,49.64403093730697,False,47.35554029189553,False,29.90076110955,True,87.56247618646964,False,96.0739990482948,False,73.51538051239356,False,left_PMd,1,0.6,left_PMd,0.6,left_PMd,29.90076110955
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",4,5,4,first5,0.39837341069457205,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\01TG\EPOCHS_im_rec_calib.hdf,34.91215941353403,65.08784058646597,57.22361977287648,1.335923344081148,62.738741237163445,0.5642820622509679,0.4100507388503864,-0.7165501697648582,8.12399137007866e-05,,96.8398829445619,False,104.60682279859783,False,57.8862168372901,False,85.99788058632508,False,33.73072310849912,True,36.45571634427172,False,31.41003105343361,True,right_M1;right_PMd,2,1;0.6,right_M1,1.0,right_PMd,31.41003105343361
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",51,52,5,last5,0.7767437735705163,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\01TG\EPOCHS_im_rec_calib.hdf,36.130805037759814,63.869194962240186,-23.747910922644735,-80.79301145294737,12.339112195382778,-0.7964036398989071,-0.39356203844788784,-0.4591842378049528,0.00012872794305063317,,72.67622004852366,False,66.97801721160002,False,90.79027762098994,False,84.98926933324032,False,93.28200326645153,False,92.06358576875932,False,99.41298670261483,False,,0,,,0.0,left_S1,66.97801721160002
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",52,53,6,last5,0.7901703827860044,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\01TG\EPOCHS_im_rec_calib.hdf,25.233647593492787,74.76635240650721,15.77809168876765,-44.410774948311996,70.63190601588181,-0.09829115300372906,-0.973962805430641,-0.2042921997504386,6.214866004064943e-05,,57.547051936469074,False,62.39492155288915,False,43.40392677008732,False,58.79080300441873,False,32.24310753317873,True,35.247791872374435,False,41.100027357197625,False,right_M1,1,1,right_M1,1.0,right_M1,32.24310753317873
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",53,54,7,last5,0.7981748602289777,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\01TG\EPOCHS_im_rec_calib.hdf,34.505180372127434,65.49481962787257,-1.761815053168835,-81.32230321527088,24.846685500709555,-0.9921447933778401,-0.10350609285222398,0.0702509623828009,0.00019258484014692725,,73.67922881415474,False,70.64271245806584,False,82.31461362494294,False,83.87569077145022,False,75.38123192350257,False,72.70748071804809,False,85.04384039037072,False,,0,,,0.0,left_S1,70.64271245806584
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",54,55,8,last5,0.8324634747369234,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\01TG\EPOCHS_im_rec_calib.hdf,40.24889897363309,59.75110102636691,6.660262356519231,-66.43914942377515,31.876952572600327,0.1260138316647741,0.5458782312401764,-0.8283341541233578,0.0002742615215926386,,64.82978332005392,False,64.03569146264348,False,66.17902601747218,False,72.09985706769216,False,56.95456984287012,False,54.604447668698576,False,66.72660642690802,False,,0,,,0.0,right_S1,54.604447668698576
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",55,56,9,last5,0.843195959092424,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\01TG\EPOCHS_im_rec_calib.hdf,22.16341193383213,77.83658806616788,-23.30448644445642,-77.40902605338334,11.734804270968747,0.9389281550448746,0.33556507395051494,0.07622336130487331,0.0001458502742619208,,70.52026433117943,False,64.94939542084353,False,88.22027219510382,False,82.45646304662229,False,91.26310168595599,False,90.18634978865576,False,97.0008803049648,False,,0,,,0.0,left_S1,64.94939542084353
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[9, 13]_robust_concat+reg0.1_im_rec_calib.hdf","[9, 13]",0,1,0,first5,0.07747112138802537,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[9, 13]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\01TG\EPOCHS_im_rec_calib.hdf,49.93181207911664,50.06818792088336,-51.76136190643231,0.9494965622700304,49.81038375394215,-0.6513344862397326,-0.6434477570207137,0.4021670934074992,0.00030115845407799856,,30.153096974104052,True,32.526142455435945,True,52.864013309011646,False,26.134405630126718,True,91.44859414805663,False,98.76162586405684,False,80.50018441693422,False,left_M1;left_S1;left_PMd,3,1;0.8;0.6,left_M1,1.0,left_PMd,26.134405630126718
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[9, 13]_robust_concat+reg0.1_im_rec_calib.hdf","[9, 13]",1,2,1,first5,0.3076872987553043,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[9, 13]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\01TG\EPOCHS_im_rec_calib.hdf,30.686270425203542,69.31372957479645,-44.501172850192354,13.205344296178698,70.71129292765954,0.9454947189797226,-0.23243097187848402,0.22806924319837346,0.00011066653547285569,,40.90146358786504,False,47.14944458212167,False,50.107650139177636,False,30.63294748722051,True,89.89493096975573,False,98.4848575326932,False,76.95783800871976,False,left_PMd,1,0.6,left_PMd,0.6,left_PMd,30.63294748722051
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[9, 13]_robust_concat+reg0.1_im_rec_calib.hdf","[9, 13]",2,3,2,first5,0.35204424797253403,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[9, 13]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\01TG\EPOCHS_im_rec_calib.hdf,35.077302490300696,64.9226975096993,-59.668405913763046,4.8606391011461465,60.21241035531112,0.8605600193337636,-0.5086820021853199,-0.026059044053965672,8.498857875344418e-05,,37.56160711187411,False,39.935953850107026,False,60.68910038512044,False,34.4387626405236,True,100.01562268170244,False,107.79226597223973,False,88.70676318382824,False,left_PMd,1,0.6,left_PMd,0.6,left_PMd,34.4387626405236
