project,stage,subject,record,matrix,band,component,component_1based,selected_order,edge_group,eigenvalue,matrix_path,epochs_path,gof,rv,x_mm,y_mm,z_mm,ori_x,ori_y,ori_z,amplitude,fit_error,dist_left_M1_mm,in_left_M1,dist_left_S1_mm,in_left_S1,dist_SMA_mm,in_SMA,dist_left_PMd_mm,in_left_PMd,dist_right_M1_mm,in_right_M1,dist_right_S1_mm,in_right_S1,dist_right_PMd_mm,in_right_PMd,roi_names,roi_count,roi_weights,best_roi,best_roi_weight,nearest_roi,nearest_roi_dist_mm,eigscore,eigengap,weighted_contra,weighted_ipsi,locality,contrast_contra,contrast_ipsi,contra_score,ipsi_score,gof_norm,gof_coef,final_score
pr_AstroSync,exp,02ES,EPOCHS_qm_rec_calib.hdf,"MATRIX_[9, 13]_robust_concat+reg0.1_qm_rec_calib.hdf","[9, 13]",0,1,0,first5,0.010572904602038151,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\02ES\MATRIX_[9, 13]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\02ES\EPOCHS_qm_rec_calib.hdf,20.81548257993579,79.18451742006421,-55.82025378919493,-3.827994909731609,63.86641579510091,0.3955225703143211,0.8676910713302672,0.3011214059240658,7.996801819799378e-05,,29.35358150364829,True,31.88706774015152,True,56.1696819777653,False,29.210488609912932,True,94.3384825653635,False,101.95385096037207,False,84.29188020930418,False,left_M1;left_S1;left_PMd,3,1;0.8;0.6,left_M1,1.0,left_PMd,29.210488609912932,4.539,0.03979871587732516,1.1784307433980432,0.2957055551057938,0.5714285714285714,0.3239100654739888,0.07410258059931031,1.8518197396254965,0.4646801580233903,0.2081548257993579,0.21304772127897265,13.262323927446282
pr_AstroSync,exp,02ES,EPOCHS_qm_rec_calib.hdf,"MATRIX_[9, 13]_robust_concat+reg0.1_qm_rec_calib.hdf","[9, 13]",1,2,1,first5,0.05037162047936331,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\02ES\MATRIX_[9, 13]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\02ES\EPOCHS_qm_rec_calib.hdf,29.231617522158647,70.76838247784136,70.59484375519246,-6.22642510705304,47.13730641216049,-0.8239629589999237,0.4686930666059861,-0.3184522750924648,0.00012666594738279245,,108.42927656911218,False,115.1799786958479,False,71.42605508588885,False,99.00826289074885,False,39.89048152822055,False,37.50324974590392,False,43.54323851141623,False,,0,,,0.0,right_S1,37.50324974590392,2.937,0.03979871587732516,0.5480111935494757,1.2697937448842587,0.5,0.1250173291607879,0.3022007579187459,0.8220167903242135,1.904690617326388,0.2923161752215865,0.3477058803545384,11.222429467816987
pr_AstroSync,exp,02ES,EPOCHS_qm_rec_calib.hdf,"MATRIX_[9, 13]_robust_concat+reg0.1_qm_rec_calib.hdf","[9, 13]",2,3,2,first5,0.05487515146471806,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\02ES\MATRIX_[9, 13]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\02ES\EPOCHS_qm_rec_calib.hdf,47.02485128040669,52.97514871959331,-51.538778452391156,-9.693379130738984,66.77684353656029,-0.7329613621056073,0.5922253429794095,0.3347189638983927,5.695520235785826e-05,,23.71230467712432,True,26.8645165673178,True,52.4110648263637,False,25.9438235524889,True,89.3524341595969,False,96.8515205373535,False,80.28340530390129,False,left_M1;left_S1;left_PMd,3,1;0.8;0.6,left_M1,1.0,left_M1,23.71230467712432,2.846,0.029022883717404906,0.08682827654519752,0.14571417122487784,0.5535714285714286,0.18332405441252697,0.3266737856308094,0.13489392963271757,0.2263773731529352,0.47024851280406693,0.6323976204865072,1.7271074074134318
pr_AstroSync,exp,02ES,EPOCHS_qm_rec_calib.hdf,"MATRIX_[9, 13]_robust_concat+reg0.1_qm_rec_calib.hdf","[9, 13]",3,4,3,first5,0.08389803518212297,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\02ES\MATRIX_[9, 13]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\02ES\EPOCHS_qm_rec_calib.hdf,47.915371237124944,52.084628762875056,24.74773517571982,-20.47706147643728,78.64128798192527,-0.01772126266404062,-0.22546860535918878,-0.9740892489125288,6.796089512309386e-05,,64.92554463614968,False,72.49623945107399,False,35.328437198280895,False,58.742050957854204,False,25.527484815332063,True,33.137369011835055,True,26.05536818113533,True,right_M1;right_S1;right_PMd,3,1;0.8;0.6,right_M1,1.0,right_M1,25.527484815332063,2.391,0.029022883717404906,0.19931483168994685,0.11526817994617855,0.5892857142857143,0.30730590473854896,0.14492439358425663,0.31676821465009414,0.18319407170017665,0.47915371237124943,0.6466459397939992,2.025545867544145
pr_AstroSync,exp,02ES,EPOCHS_qm_rec_calib.hdf,"MATRIX_[9, 13]_robust_concat+reg0.1_qm_rec_calib.hdf","[9, 13]",4,5,4,first5,0.10407502454708017,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\02ES\MATRIX_[9, 13]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\02ES\EPOCHS_qm_rec_calib.hdf,67.08203780198542,32.91796219801458,-23.09830092210894,-8.932185328981825,81.22783209781632,-0.7627141147148105,-0.6123133403724255,-0.2081815371659191,5.990408697734319e-05,,32.0926220557345,True,40.68652371709407,False,32.88862113643776,True,25.716514843449886,True,66.00069486903834,False,74.40368113941648,False,56.99428777491284,False,left_M1;SMA;left_PMd,3,1;0.7;0.6,left_M1,1.0,left_PMd,25.716514843449886,2.153,0.03578091517609111,0.10029417079506847,0.10222858266016262,0.4821428571428571,0.2429922546001589,0.2259411887923938,0.14865028885697648,0.15151736358559817,0.6708203780198542,0.9533126048317668,1.3075176972900915
pr_AstroSync,exp,02ES,EPOCHS_qm_rec_calib.hdf,"MATRIX_[9, 13]_robust_concat+reg0.1_qm_rec_calib.hdf","[9, 13]",51,52,5,last5,0.6167182023997335,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\02ES\MATRIX_[9, 13]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\02ES\EPOCHS_qm_rec_calib.hdf,49.20990362837025,50.79009637162975,47.79319927422268,-67.53207851422302,19.6984461003838,-0.025415922321315315,-0.9754285075361163,-0.21884528228504616,9.338556323029284e-05,,101.16395069344024,False,102.54202035179468,False,86.81817559861109,False,102.98776744823816,False,57.895804894799966,False,49.8558768828557,False,72.48201104591017,False,,0,,,0.0,right_S1,49.8558768828557,0.476,0.07299986895975885,0.10849413356506601,0.11867517590375695,0.4821428571428571,0.13623171244150775,0.1494790147557126,0.1608038051053657,0.17589356428592548,0.4920990362837025,0.667358458053924,0.28673144399359674
pr_AstroSync,exp,02ES,EPOCHS_qm_rec_calib.hdf,"MATRIX_[9, 13]_robust_concat+reg0.1_qm_rec_calib.hdf","[9, 13]",52,53,6,last5,0.6897180713594924,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\02ES\MATRIX_[9, 13]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\02ES\EPOCHS_qm_rec_calib.hdf,15.413890153070314,84.58610984692969,38.011634604788384,-65.50517631281767,23.325397937304828,-0.37302934144523614,-0.8998383602828857,-0.22614162771223956,5.237720308966914e-05,,90.92871569304317,False,92.11249654953643,False,78.66434008846528,False,93.44522901635924,False,52.86166810172326,False,45.81219714207028,False,66.89325638794637,False,,0,,,0.0,right_S1,45.81219714207028,0.799,0.07299986895975885,0.16932951644474742,0.20671761740175426,0.5892857142857143,0.16648428149715136,0.13315285601165566,0.26911298149254503,0.32853335622778806,0.15413890153070314,0.0,0.5123782792044996
pr_AstroSync,exp,02ES,EPOCHS_qm_rec_calib.hdf,"MATRIX_[9, 13]_robust_concat+reg0.1_qm_rec_calib.hdf","[9, 13]",53,54,7,last5,0.7610174406671512,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\02ES\MATRIX_[9, 13]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\02ES\EPOCHS_qm_rec_calib.hdf,9.332223138933413,90.66777686106659,-1.2513059468960095,-61.221879723727085,58.82198326264556,0.7979040285285173,0.06271471450070136,0.5995131573560822,1.8961273468211424e-05,,50.99905546280717,False,51.78611103522033,False,55.242170696656984,False,59.63241320295603,False,52.73605706204729,False,53.777511054628576,False,60.796142726824684,False,,0,,,0.0,left_M1,50.99905546280717,1.158,0.12341775606158067,0.16335425365903877,0.10430283885193078,0.6071428571428572,0.13721893671635974,0.09068686127063448,0.2625336219520266,0.16762956244060306,0.09332223138933413,0.0,0.5596069269280782
pr_AstroSync,exp,02ES,EPOCHS_qm_rec_calib.hdf,"MATRIX_[9, 13]_robust_concat+reg0.1_qm_rec_calib.hdf","[9, 13]",54,55,8,last5,0.8844351967287318,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\02ES\MATRIX_[9, 13]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\02ES\EPOCHS_qm_rec_calib.hdf,12.8659843487466,87.1340156512534,34.35947592220428,-67.54291498722502,38.555732485343974,0.2700081985580684,-0.8297970930583555,-0.4883977447361215,5.071965221084851e-05,,84.56207049709008,False,86.14515864433321,False,73.11760054839634,False,87.96797958115648,False,46.93590559430398,False,40.60291126171886,False,62.37069927701536,False,,0,,,0.0,right_S1,40.60291126171886,2.035,0.12341775606158067,0.4716532275236018,0.3475543278881096,0.6071428571428572,0.19032192193771175,0.13320549684721752,0.7580141156629314,0.5585694555344618,0.128659843487466,0.0,3.0099142900870106
pr_AstroSync,exp,02ES,EPOCHS_qm_rec_calib.hdf,"MATRIX_[9, 13]_robust_concat+reg0.1_qm_rec_calib.hdf","[9, 13]",55,56,9,last5,0.9325023110085917,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\02ES\MATRIX_[9, 13]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\02ES\EPOCHS_qm_rec_calib.hdf,3.6462025947367174,96.35379740526328,40.84184454760107,-32.6935527522072,66.91773882395859,0.6237588913798581,0.04075399150963615,0.7805536225017491,1.2514987039514206e-05,,78.0989369579463,False,84.21736974103185,False,49.59967832877163,False,73.94706301990826,False,14.772215104943339,True,15.203140534135887,True,29.897851761271472,True,right_M1;right_S1;right_PMd,3,1;0.8;0.6,right_M1,1.0,right_M1,14.772215104943339,2.626,0.04806711427985988,0.8312734783555079,1.1892108421920087,0.5714285714285714,0.1598673790112652,0.2218670049370611,1.3062868945586552,1.8687598948731565,0.03646202594736717,0.0,8.738440743672552
