project,stage,subject,record,matrix,band,component,component_1based,selected_order,edge_group,eigenvalue,matrix_path,epochs_path,gof,rv,x_mm,y_mm,z_mm,ori_x,ori_y,ori_z,amplitude,fit_error,dist_left_M1_mm,in_left_M1,dist_left_S1_mm,in_left_S1,dist_SMA_mm,in_SMA,dist_left_PMd_mm,in_left_PMd,dist_right_M1_mm,in_right_M1,dist_right_S1_mm,in_right_S1,dist_right_PMd_mm,in_right_PMd,roi_names,roi_count,roi_weights,best_roi,best_roi_weight,nearest_roi,nearest_roi_dist_mm,eigscore,eigengap,weighted_contra,weighted_ipsi,locality,contrast_contra,contrast_ipsi,contra_score,ipsi_score,gof_norm,gof_coef,final_score
pr_AstroSync,exp,04AB,EPOCHS_qm_rec_calib.hdf,"MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf","[8, 15]",0,1,0,first5,0.1661545589179088,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\04AB\MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\04AB\EPOCHS_qm_rec_calib.hdf,75.32127742791927,24.67872257208073,-40.44857214672801,-10.71425981251084,59.62873522739042,-0.7836005460290296,-0.22519063182012644,0.5790158578169158,0.0004800937319391636,,14.473023382300363,True,20.797699491358898,True,40.754926238797914,False,13.247712035389661,True,77.67923013877935,False,85.01708313499809,False,68.59841072944872,False,left_M1;left_S1;left_PMd,3,1;0.8;0.6,left_M1,1.0,left_PMd,13.247712035389661,1.613,0.05201531340213594,0.5680338844987739,0.43519567447408747,0.4821428571428571,0.3362771258788712,0.24377492337627837,0.8419073645249685,0.6450221603812368,0.7532127742791928,1.0,5.046343504867419
pr_AstroSync,exp,04AB,EPOCHS_qm_rec_calib.hdf,"MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf","[8, 15]",1,2,1,first5,0.21816987232004476,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\04AB\MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\04AB\EPOCHS_qm_rec_calib.hdf,67.56260172354264,32.43739827645736,47.35392331536861,-9.171931061878418,69.89072169425265,0.9585865935850484,-0.28301322124199074,0.031863132320052286,0.0003169587957816524,,85.79452377445321,False,93.4773234013529,False,48.92692982836028,False,76.63249526551662,False,23.275208963017672,True,27.974110768694597,True,23.851622990860506,True,right_M1;right_S1;right_PMd,3,1;0.8;0.6,right_M1,1.0,right_M1,23.275208963017672,1.276,0.10951375909002281,0.3155480712323425,0.8610605875729841,0.5357142857142857,0.14108032730051565,0.39039782973386444,0.4845916808210974,1.3223430452013683,0.6756260172354264,0.9610016275766824,5.016534289482836
pr_AstroSync,exp,04AB,EPOCHS_qm_rec_calib.hdf,"MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf","[8, 15]",2,3,2,first5,0.32768363141006757,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\04AB\MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\04AB\EPOCHS_qm_rec_calib.hdf,63.30402988730819,36.69597011269181,-49.14417813945756,-8.14399155922147,56.25333307195582,-0.10589637191364448,0.9930926163604604,0.05052735641078382,0.0002658410552202751,,20.597247395736655,True,23.38408066340601,True,49.22192387713299,False,21.146185954152312,True,86.60836133054977,False,93.82450189530209,False,77.14472847853465,False,left_M1;left_S1;left_PMd,3,1;0.8;0.6,left_M1,1.0,left_M1,20.597247395736655,0.719,0.10951375909002281,0.42676787192249166,0.242045918783639,0.4285714285714286,0.21124626705260457,0.12037016132476658,0.6096683884607024,0.3457798839766272,0.6330402988730819,0.892864478196931,1.4427406998312025
pr_AstroSync,exp,04AB,EPOCHS_qm_rec_calib.hdf,"MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf","[8, 15]",3,4,3,first5,0.3380625821438622,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\04AB\MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\04AB\EPOCHS_qm_rec_calib.hdf,40.964644828269925,59.035355171730075,-43.62747556556791,-14.677230953842974,61.16526301543952,-0.4164328781672362,-0.8685173218428826,-0.26881465666927185,0.00011835452475531385,,13.106195031739245,True,17.928691366091726,True,44.59450471983589,False,17.761850910928406,True,80.33759287937228,False,87.46915953132272,False,72.12323211785268,False,left_M1;left_S1;left_PMd,3,1;0.8;0.6,left_M1,1.0,left_M1,13.106195031739245,0.672,0.011885055961373459,0.6101133143790403,0.6059510693634786,0.4464285714285714,0.19203967210568343,0.19118071196532796,0.882485329726826,0.8764649396150316,0.40964644828269925,0.5354343172523188,1.8364760075736468
pr_AstroSync,exp,04AB,EPOCHS_qm_rec_calib.hdf,"MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf","[8, 15]",4,5,4,first5,0.34994763810523566,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\04AB\MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\04AB\EPOCHS_qm_rec_calib.hdf,79.7646415331324,20.235358466867595,52.98799130988588,-7.128000077570548,65.05473045566389,0.12654724622211777,0.9001257516133253,0.41684460624571457,0.00019023426457617857,,91.02480498400153,False,98.57115633291824,False,53.46745579353493,False,81.49725924164318,False,25.59774157522387,True,28.535772650267923,True,26.59225897121898,True,right_M1;right_S1;right_PMd,3,1;0.8;0.6,right_M1,1.0,right_M1,25.59774157522387,0.619,0.052653338307728004,0.25957355914985736,0.3304036086430753,0.4642857142857143,0.16179908699277756,0.21344363198543276,0.380089854469434,0.48380528408450313,0.7976464153313241,1.0,1.1258150417147144
pr_AstroSync,exp,04AB,EPOCHS_qm_rec_calib.hdf,"MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf","[8, 15]",51,52,5,last5,0.6920085381092674,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\04AB\MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\04AB\EPOCHS_qm_rec_calib.hdf,20.885260716577125,79.11473928342288,51.418862616788765,59.69819848565727,31.74216404365094,-0.933894276685277,-0.1766337643887208,0.31087295355555344,8.480908823218883e-05,,123.43374164401973,False,131.08482224049118,False,87.46214418921797,False,107.13936915454076,False,88.49617143936244,False,92.43842113645526,False,75.63023079267057,False,,0,,,0.0,right_PMd,75.63023079267057,0.81,0.00979455888929992,0.23051438442425654,0.163996365894603,0.4464285714285714,0.24497791197196447,0.19415075071497315,0.3334225917565139,0.2372090292404079,0.20885260716577125,0.214164171465234,0.5666974942387579
pr_AstroSync,exp,04AB,EPOCHS_qm_rec_calib.hdf,"MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf","[8, 15]",52,53,6,last5,0.6983665206040868,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\04AB\MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\04AB\EPOCHS_qm_rec_calib.hdf,25.048082060918404,74.9519179390816,22.44633071413227,-45.16178816741587,52.73374408329803,-0.39772699770535963,-0.8697139349401114,0.29225144425180977,0.0001169840339409392,,62.24518680268936,False,66.20987647872994,False,45.44465718187288,False,62.74152699793723,False,25.341500690895305,True,24.75407407588605,True,37.71617915497369,False,right_M1;right_S1,2,1;0.8,right_M1,1.0,right_S1,24.75407407588605,0.84,0.006357982494819336,0.07998446255678023,0.1044590444064889,0.5357142857142857,0.12466513673398222,0.14789842376329795,0.12283328178362676,0.16041924676710795,0.25048082060918403,0.28076931297469443,0.3066736701575142
pr_AstroSync,exp,04AB,EPOCHS_qm_rec_calib.hdf,"MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf","[8, 15]",53,54,7,last5,0.7034462442288438,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\04AB\MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\04AB\EPOCHS_qm_rec_calib.hdf,38.464893286561995,61.535106713438005,54.20271285611612,-17.19984139726603,-10.173605458523575,0.5775335725840793,-0.8025438950340636,0.14959367995281067,0.0004370038021828745,,112.07906862124442,False,115.25781204258402,False,87.81236250950617,False,105.92860398409992,False,68.96757913487245,False,64.63982887520757,False,71.7646521773447,False,,0,,,0.0,right_S1,64.63982887520757,0.864,0.010000043575666195,0.22873210296408972,0.42725706462914625,0.4821428571428571,0.12407421563510353,0.24141900140289063,0.3390136526074901,0.6332560065039132,0.38464893286561996,0.495438292584992,1.2687918063272352
pr_AstroSync,exp,04AB,EPOCHS_qm_rec_calib.hdf,"MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf","[8, 15]",54,55,8,last5,0.71344628780451,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\04AB\MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\04AB\EPOCHS_qm_rec_calib.hdf,25.175374613136814,74.82462538686319,79.33186725404452,-23.701071787153413,19.540067076306276,-0.6643499210284945,0.5265213891738825,0.5304850696973836,9.838605674874533e-05,,120.95807402228769,False,125.75669267833968,False,89.92240846931493,False,114.43766902687867,False,56.6309702071121,False,49.86975089886546,False,64.89076174504689,False,,0,,,0.0,right_S1,49.86975089886546,0.912,0.021199662832589783,0.25547502915627723,0.16942058835662505,0.5178571428571428,0.2493558834055853,0.18088590886647207,0.3877745978264922,0.257156250184163,0.25175374613136814,0.282805993810189,0.7705123993556309
pr_AstroSync,exp,04AB,EPOCHS_qm_rec_calib.hdf,"MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf","[8, 15]",55,56,9,last5,0.7346459506370998,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\04AB\MATRIX_[8, 15]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\04AB\EPOCHS_qm_rec_calib.hdf,65.35919379191687,34.640806208083134,83.07602311268762,10.171001914079874,-15.484459563322092,0.9197037345884294,-0.34577049448049385,0.18597797109015468,0.0004280074520723559,,143.02721633033903,False,147.68843297638523,False,112.08520293258385,False,133.33452733689066,False,92.16201648715473,False,88.62900965309672,False,92.05205913791949,False,,0,,,0.0,right_S1,88.62900965309672,1.018,0.021199662832589783,0.25489659513847984,0.3170525686394173,0.5,0.17662154541532496,0.17587414268335513,0.38234489270771976,0.47557885295912594,0.6535919379191687,0.9257471006706701,1.717538108251996
