project,stage,subject,record,matrix,band,component,component_1based,selected_order,edge_group,eigenvalue,matrix_path,epochs_path,gof,rv,x_mm,y_mm,z_mm,ori_x,ori_y,ori_z,amplitude,fit_error,dist_left_M1_mm,in_left_M1,dist_left_S1_mm,in_left_S1,dist_SMA_mm,in_SMA,dist_left_PMd_mm,in_left_PMd,dist_right_M1_mm,in_right_M1,dist_right_S1_mm,in_right_S1,dist_right_PMd_mm,in_right_PMd,roi_names,roi_count,roi_weights,best_roi,best_roi_weight,nearest_roi,nearest_roi_dist_mm,eigscore,eigengap,weighted_contra,weighted_ipsi,locality,contrast_contra,contrast_ipsi,contra_score,ipsi_score,gof_norm,gof_coef,final_score
pr_AstroSync,exp,07TS,EPOCHS_qm_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_qm_rec_calib.hdf","[8, 12]",0,1,0,first5,0.2908093698247423,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\07TS\MATRIX_[8, 12]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\07TS\EPOCHS_qm_rec_calib.hdf,40.65068762561847,59.34931237438153,-29.716900392865007,5.709546284186209,44.59963827216729,0.4241289072016709,0.623920255447853,-0.6563826512925233,0.00043888515061854864,,32.43613307117258,True,38.48131475773675,False,34.63780214704338,True,17.91277906419595,True,73.01600088462375,False,80.45651528301066,False,60.40828169881657,False,left_M1;SMA;left_PMd,3,1;0.7;0.6,left_M1,1.0,left_PMd,17.91277906419595,0.891,0.007720998022382408,0.5228033567707002,0.1630518941585783,0.5357142857142857,0.357951629874642,0.10186796540390093,0.8028765836121468,0.25040112317210234,0.40650687625618465,0.5304110020098955,1.4473347299771933
pr_AstroSync,exp,07TS,EPOCHS_qm_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_qm_rec_calib.hdf","[8, 12]",1,2,1,first5,0.2985303678471247,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\07TS\MATRIX_[8, 12]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\07TS\EPOCHS_qm_rec_calib.hdf,28.99329779278876,71.00670220721125,36.61858676390861,2.7600953567188715,76.54128046216722,-0.9552302243318979,0.005310371901234377,0.29581585230190566,0.00016265257957164274,,80.07188052065109,False,88.63622554722357,False,41.96950379050787,False,68.65337289948602,False,33.74062175050398,True,41.285080875803594,False,24.738712434524892,True,right_M1;right_PMd,2,1;0.6,right_M1,1.0,right_PMd,24.738712434524892,0.854,0.018102450226840372,0.11368882203954658,0.27280064895951683,0.4285714285714286,0.10397037171083637,0.25339498635664787,0.162412602913638,0.38971521279930976,0.2899329779278876,0.34389276468462016,0.645139444863067
pr_AstroSync,exp,07TS,EPOCHS_qm_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_qm_rec_calib.hdf","[8, 12]",2,3,2,first5,0.3166328180739651,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\07TS\MATRIX_[8, 12]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\07TS\EPOCHS_qm_rec_calib.hdf,41.53532592182991,58.46467407817009,-51.64266826834726,-36.294236786096825,56.90595867096745,0.004715355347717261,0.5846074503123074,-0.8113025911848722,0.00012257236707851084,,19.916377427124534,True,12.516664832697499,True,59.88240889239756,False,36.88306331188246,False,88.5054027755463,False,93.98210025114582,False,84.52419301787639,False,left_M1;left_S1,2,1;0.8,left_M1,1.0,left_S1,12.516664832697499,0.769,0.018102450226840372,0.29032059871927474,0.23631093312835616,0.5,0.24592634369119726,0.20112643601322433,0.4354808980789121,0.35446639969253424,0.4153532592182991,0.5445652147492785,0.9552613139413101
pr_AstroSync,exp,07TS,EPOCHS_qm_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_qm_rec_calib.hdf","[8, 12]",3,4,3,first5,0.3295954195272228,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\07TS\MATRIX_[8, 12]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\07TS\EPOCHS_qm_rec_calib.hdf,31.965832352544275,68.03416764745572,-54.37666476183806,-5.849672274421258,64.94889503689292,-0.5230092783668568,-0.7775135948293624,0.3491903558200048,0.0001461549153209859,,27.335305498498087,True,30.06815662052217,True,54.819078898501694,False,27.936268105584702,True,92.61457041092886,False,100.1966752070399,False,82.88921238009787,False,left_M1;left_S1;left_PMd,3,1;0.8;0.6,left_M1,1.0,left_M1,27.335305498498087,0.71,0.012962601453257727,0.15977979891856406,0.21632693982637322,0.5,0.10507126372846429,0.15963286956778674,0.23966969837784607,0.32449040973955984,0.31965832352544277,0.39145331764070845,0.5645764709319
pr_AstroSync,exp,07TS,EPOCHS_qm_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_qm_rec_calib.hdf","[8, 12]",4,5,4,first5,0.3367498219620863,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\07TS\MATRIX_[8, 12]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\07TS\EPOCHS_qm_rec_calib.hdf,20.45406510816677,79.54593489183323,-16.244175474770746,-83.41278431421469,5.048672356510031,-0.7252585164481543,0.6623730663802732,-0.18778180224243363,0.00013170908505672548,,80.72304089461267,False,75.63540964824323,False,95.18642503709493,False,91.7677788601452,False,94.10297869695889,False,91.92244922987555,False,101.19620986034425,False,,0,,,0.0,left_S1,75.63540964824323,0.678,0.007154402434863483,0.1567599423037938,0.16259987763991746,0.5,0.11923247673730009,0.11624966388617294,0.2351399134556907,0.24389981645987618,0.2045406510816677,0.2072650417306683,0.3949116159174846
pr_AstroSync,exp,07TS,EPOCHS_qm_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_qm_rec_calib.hdf","[8, 12]",51,52,5,last5,0.6666737825156401,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\07TS\MATRIX_[8, 12]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\07TS\EPOCHS_qm_rec_calib.hdf,21.557965317145115,78.44203468285488,-21.624395512973443,-79.05079441134033,22.736499384327466,-0.12395532921631758,-0.23798755224345394,-0.9633260098928315,0.00011830610854503471,,65.90681636140472,False,60.64237923167906,False,83.94967254909905,False,78.7103817311693,False,86.35752078866149,False,85.50085733522394,False,92.82917908567013,False,,0,,,0.0,left_S1,60.64237923167906,0.693,0.020908783990333357,0.2535369229086636,0.13884208137331738,0.5357142857142857,0.15105650098432757,0.08659788695711684,0.3893602744668762,0.21322176782330882,0.21557965317145114,0.22492744507432183,0.5222118534815813
pr_AstroSync,exp,07TS,EPOCHS_qm_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_qm_rec_calib.hdf","[8, 12]",52,53,6,last5,0.6875825665059735,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\07TS\MATRIX_[8, 12]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\07TS\EPOCHS_qm_rec_calib.hdf,51.88870341129629,48.11129658870371,4.3950505743500745,-71.0211461326082,4.842298181556521,0.0174448542103482,0.5884821426662328,-0.8083219932827137,0.0003321545028980875,,80.37324648086059,False,77.84011811801498,False,84.09998321383681,False,87.39687990384456,False,76.33460203057824,False,72.94323472492643,False,84.53383318293228,False,,0,,,0.0,right_S1,72.94323472492643,0.789,0.04498991166043498,0.12298033173349683,0.15822502282366194,0.5714285714285714,0.111739542783114,0.1599729926244585,0.19325480700978073,0.24863932158004018,0.5188870341129629,0.7102192545807406,0.6231019692654794
pr_AstroSync,exp,07TS,EPOCHS_qm_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_qm_rec_calib.hdf","[8, 12]",53,54,7,last5,0.7325724781664085,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\07TS\MATRIX_[8, 12]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\07TS\EPOCHS_qm_rec_calib.hdf,37.143590393137686,62.856409606862314,-74.47286094423922,28.291852321679762,29.491036539119275,-0.8458060070098357,0.21546801100683366,-0.48804275912960443,0.0001458549818196742,,70.12363362117969,False,70.42073686833788,False,86.80379686675991,False,64.64944309931461,False,125.06564663490886,False,132.17609776246184,False,111.89508889493904,False,,0,,,0.0,left_PMd,64.64944309931461,1.008,0.04498991166043498,0.16330118230863014,0.1997098658823472,0.4642857142857143,0.10151806766415176,0.15963968547511428,0.23911958838049416,0.29243230361343703,0.3714359039313769,0.47429744629020304,0.8254740240582324
pr_AstroSync,exp,07TS,EPOCHS_qm_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_qm_rec_calib.hdf","[8, 12]",54,55,8,last5,0.7431663458919142,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\07TS\MATRIX_[8, 12]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\07TS\EPOCHS_qm_rec_calib.hdf,67.964219209104,32.035780790896,-69.07638345070269,24.277888755161197,-21.409100422525388,-0.8241349598740696,-0.3472844135464759,0.4474316752544973,0.00048013065095092315,,97.04107642157655,False,95.22665474189229,False,109.51759003928616,False,93.38790182943582,False,139.1544815302743,False,143.7809034366164,False,128.28817230977705,False,,0,,,0.0,left_PMd,93.38790182943582,1.062,0.027639145585727,0.3599197703131692,0.1607834004310284,0.5357142857142857,0.2232213233978827,0.10993334500115992,0.5527339329809383,0.24691736494765074,0.67964219209104,0.9674275073456642,1.7169772537882015
pr_AstroSync,exp,07TS,EPOCHS_qm_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_qm_rec_calib.hdf","[8, 12]",55,56,9,last5,0.7708054914776412,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\07TS\MATRIX_[8, 12]_robust_concat+reg0.1_qm_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\07TS\EPOCHS_qm_rec_calib.hdf,62.26949086973255,37.73050913026745,-82.18189771220536,-11.518829495033854,18.391792685705287,-0.4000345198550421,0.9012702567057891,-0.16638601894939106,0.0001964051038543198,,60.85166021457102,False,55.54862883877853,False,91.39546967561789,False,66.04875061729763,False,124.64797560099873,False,129.9700310899358,False,116.47665002854853,False,,0,,,0.0,left_S1,55.54862883877853,1.213,0.027639145585727,0.1357312016488573,0.14207424559985127,0.5178571428571428,0.17675948202755243,0.17234909773720314,0.20602057393130124,0.21564840849977424,0.6226949086973255,0.8763118539157209,0.9862297940404878
