project,stage,subject,record,matrix,band,component,component_1based,selected_order,edge_group,eigenvalue,matrix_path,epochs_path,gof,rv,x_mm,y_mm,z_mm,ori_x,ori_y,ori_z,amplitude,fit_error,dist_left_M1_mm,in_left_M1,dist_left_S1_mm,in_left_S1,dist_SMA_mm,in_SMA,dist_left_PMd_mm,in_left_PMd,dist_right_M1_mm,in_right_M1,dist_right_S1_mm,in_right_S1,dist_right_PMd_mm,in_right_PMd,roi_names,roi_count,roi_weights,best_roi,best_roi_weight,nearest_roi,nearest_roi_dist_mm
pr_AstroSync,exp,10AS,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",0,1,0,first5,0.09744221447474294,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\10AS\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\10AS\EPOCHS_im_rec_calib.hdf,49.43116544888609,50.56883455111391,-52.81683673691413,-15.746556752991404,64.65111073109213,-0.9220651125126434,-0.14624177764025134,0.35834239319352895,0.00015449900256184134,,20.634123197975576,True,21.913813089444396,True,54.11885886999441,False,27.399384008323704,True,89.61803127867108,False,96.71320373103498,False,81.64687353824374,False,left_M1;left_S1;left_PMd,3,1;0.8;0.6,left_M1,1.0,left_M1,20.634123197975576
pr_AstroSync,exp,10AS,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",1,2,1,first5,0.13693452065597433,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\10AS\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\10AS\EPOCHS_im_rec_calib.hdf,53.54150346624481,46.45849653375519,49.90111694120348,-6.349010109879631,68.46791026563749,-0.756376608297569,0.6091312363686362,-0.23843985258400613,0.00019367392086483905,,88.57769539923375,False,96.31394855544248,False,50.988434231361744,False,78.9098129176361,False,25.695277439757962,True,29.882922216848826,True,25.255365316730988,True,right_M1;right_S1;right_PMd,3,1;0.8;0.6,right_M1,1.0,right_PMd,25.255365316730988
pr_AstroSync,exp,10AS,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",2,3,2,first5,0.16152504557753838,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\10AS\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\10AS\EPOCHS_im_rec_calib.hdf,34.82531106299586,65.17468893700413,20.607020488601464,-82.09852739790888,8.708487252587691,-0.8597444559811762,-0.49530021118026263,-0.1245679381478979,0.00012514286352515163,,93.89505222503034,False,92.23909500558962,False,92.98004299029034,False,100.4476051544119,False,76.47790453446385,False,71.03570373667837,False,88.21414334749997,False,,0,,,0.0,right_S1,71.03570373667837
pr_AstroSync,exp,10AS,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",3,4,3,first5,0.17831951992445075,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\10AS\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\10AS\EPOCHS_im_rec_calib.hdf,18.874536145448374,81.12546385455163,67.53126197852973,25.593514627655324,44.7757031144111,-0.6128064253549904,0.353604524915053,-0.7067051188460702,9.961915171311573e-05,,115.34393673083235,False,123.04440940065408,False,75.71990186905211,False,101.88587282260879,False,59.8307781635671,False,61.60093077513337,False,53.07758226624008,False,,0,,,0.0,right_PMd,53.07758226624008
pr_AstroSync,exp,10AS,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",4,5,4,first5,0.18076431985265284,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\10AS\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\10AS\EPOCHS_im_rec_calib.hdf,34.93168586901227,65.06831413098773,-0.1547707364201821,-84.71520375576458,7.947088001518762,0.6994367462848747,-0.6371321923072053,-0.3238067440190863,8.25420657243742e-05,,85.3246668882826,False,81.76451424488695,False,93.28130174810005,False,94.70829758560534,False,85.45516816226446,False,81.9233621955356,False,94.79976768981366,False,,0,,,0.0,left_S1,81.76451424488695
pr_AstroSync,exp,10AS,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",51,52,5,last5,0.6390041053620128,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\10AS\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\10AS\EPOCHS_im_rec_calib.hdf,65.11709824963347,34.88290175036653,-14.564199508355285,-49.804251248750795,67.21962891586186,-0.5278931466391129,0.47280539794598914,-0.7055380084762202,0.000142194187477311,,35.37277198970836,False,37.10213768069865,False,47.07366452836509,False,45.321035185988485,False,57.866032587685304,False,61.83327694600381,False,60.70573758110018,False,,0,,,0.0,left_M1,35.37277198970836
pr_AstroSync,exp,10AS,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",52,53,6,last5,0.6692499084217953,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\10AS\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\10AS\EPOCHS_im_rec_calib.hdf,34.41030898232319,65.58969101767681,47.11517730840656,-70.83519828202141,3.2088519026882425,-0.2341392558354009,0.8567919675443098,-0.45944132729696324,0.00013570997322167322,,109.03473673355855,False,109.49705191508377,False,97.08508010447933,False,111.25402160212728,False,71.44220238868536,False,63.829887907486174,False,84.26480560770949,False,,0,,,0.0,right_S1,63.829887907486174
pr_AstroSync,exp,10AS,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",53,54,7,last5,0.7314520694470898,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\10AS\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\10AS\EPOCHS_im_rec_calib.hdf,64.52676080507686,35.47323919492314,19.194468188003256,-49.377223225131715,33.823673059381775,0.8550097650211933,-0.13860415070917262,0.4997471271799296,0.0002646427132429569,,64.67010324525435,False,66.71295659601192,False,53.24007783693444,False,66.56712331134658,False,37.659246337113395,False,35.01353912698377,False,47.76401855886559,False,,0,,,0.0,right_S1,35.01353912698377
pr_AstroSync,exp,10AS,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",54,55,8,last5,0.7759663911852586,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\10AS\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\10AS\EPOCHS_im_rec_calib.hdf,32.78292597252352,67.21707402747649,8.174455742771977,-71.08852312260922,41.0153216278112,0.34406171919347633,-0.8453224137339715,-0.4087194027992816,0.00014677573003099201,,66.28161235181719,False,65.7754201842984,False,67.76294613119822,False,74.25155610487708,False,56.71093817772195,False,54.34240826127709,False,67.80674406580253,False,,0,,,0.0,right_S1,54.34240826127709
pr_AstroSync,exp,10AS,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",55,56,9,last5,0.8712721901302709,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\10AS\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\10AS\EPOCHS_im_rec_calib.hdf,22.587420475846727,77.41257952415327,-7.941010204286925,-36.16930403536529,47.19130598937005,-0.4739025043425456,0.7356397238066605,-0.48399443502536643,0.0002282548982944447,,31.827534608165873,True,34.9456526090604,True,33.016275005795634,True,35.68565330261276,False,46.43810319824997,False,50.549860045239825,False,46.50654786709515,False,left_M1;left_S1;SMA,3,1;0.8;0.7,left_M1,1.0,left_M1,31.827534608165873
