project,stage,subject,record,matrix,band,component,component_1based,selected_order,edge_group,eigenvalue,matrix_path,epochs_path,gof,rv,x_mm,y_mm,z_mm,ori_x,ori_y,ori_z,amplitude,fit_error,dist_left_M1_mm,in_left_M1,dist_left_S1_mm,in_left_S1,dist_SMA_mm,in_SMA,dist_left_PMd_mm,in_left_PMd,dist_right_M1_mm,in_right_M1,dist_right_S1_mm,in_right_S1,dist_right_PMd_mm,in_right_PMd,roi_names,roi_count,roi_weights,best_roi,best_roi_weight,nearest_roi,nearest_roi_dist_mm,eigscore,eigengap,weighted_contra,weighted_ipsi,locality,contrast_contra,contrast_ipsi,contra_score,ipsi_score,gof_norm,gof_coef,final_score
pr_AstroSync,exp,14BE,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",0,1,0,first5,0.020387664331770375,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\14BE\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\14BE\EPOCHS_im_rec_calib.hdf,47.96958012321672,52.03041987678328,-37.17075479798485,-4.7479482702629765,50.20313854744611,0.312608388328739,0.9340782056141868,-0.17255115572806046,0.00012066464951215736,,20.139904798721865,True,25.772396800883207,True,38.00031176577597,False,11.326172642060198,True,75.88283373867503,False,83.11981257752949,False,65.50882935980503,False,left_M1;left_S1;left_PMd,3,1;0.8;0.6,left_M1,1.0,left_PMd,11.326172642060198,3.872,0.07922408593804735,0.3373549192104164,0.15234460991767632,0.5535714285714286,0.2957931640809551,0.1272698112268576,0.5241049637733255,0.23667823326496143,0.4796958012321672,0.6475132819714676,5.237654107874825
pr_AstroSync,exp,14BE,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",1,2,1,first5,0.09961175026981772,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\14BE\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\14BE\EPOCHS_im_rec_calib.hdf,68.27560732215939,31.724392677840612,-57.63413475464902,-6.765186381804192,62.139747231660024,0.26469007269147093,0.08092151366999818,-0.9609322942038842,1.9429377462849998e-05,,28.333215191801603,True,29.78417713016055,True,57.787684728305024,False,30.28866460240622,True,95.40485568237287,False,102.80871483537673,False,85.8628341945323,False,left_M1;left_S1;left_PMd,3,1;0.8;0.6,left_M1,1.0,left_M1,28.333215191801603,2.202,0.07922408593804735,0.034115639914631984,0.012439979287762505,0.4642857142857143,0.18400475008672806,0.06765032024147907,0.04995504416071112,0.018215683957080814,0.6827560732215939,0.9724097171545505,0.3195391017230423
pr_AstroSync,exp,14BE,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",2,3,2,first5,0.14478076589009553,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\14BE\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\14BE\EPOCHS_im_rec_calib.hdf,49.41755054412699,50.58244945587301,36.90643185965308,-7.649344431633365,44.42158390471074,0.6865255542644857,-0.7142847130274954,-0.13594120816393207,0.0001387992186570195,,75.60920223952405,False,82.36024030848364,False,39.35960407984545,False,65.93199204752628,False,20.055554729480967,True,24.143914994247616,True,14.611885815113785,True,right_M1;right_S1;right_PMd,3,1;0.8;0.6,right_M1,1.0,right_PMd,14.611885815113785,1.776,0.04516901562027781,0.05502271582743497,0.1851305489036711,0.4285714285714286,0.06177560231159019,0.25850972461885935,0.07860387975347853,0.26447221271953014,0.49417550544126987,0.6706808087060319,1.063930910538517
pr_AstroSync,exp,14BE,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",3,4,3,first5,0.18456848715654142,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\14BE\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\14BE\EPOCHS_im_rec_calib.hdf,55.0720657934808,44.9279342065192,11.233037805195162,38.69406096690404,-5.587987820849666,-0.21315647685827227,-0.9055606925547297,0.3667753378747907,6.76046091820627e-05,,99.77266852525297,False,104.25452828222089,False,78.5313467295118,False,86.67552612373316,False,91.30732687304945,False,94.77265595136399,False,79.08569146592886,False,,0,,,0.0,SMA,78.5313467295118,1.486,0.03978772126644589,0.06475983344022293,0.06419862453465246,0.3392857142857143,0.18985753023522442,0.19397704002279012,0.08673191978601286,0.08598030071605241,0.5507206579348081,0.7611530526956931,0.46998463687002195
pr_AstroSync,exp,14BE,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",4,5,4,first5,0.2093564899628389,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\14BE\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\14BE\EPOCHS_im_rec_calib.hdf,27.479980887931948,72.52001911206806,28.57704127000882,-11.311730356120108,60.16806957476285,0.5685402045312715,-0.3035221022476302,-0.7646151772484764,3.045294805894542e-05,,65.94360658717636,False,73.46487281203893,False,29.14725189112908,True,56.82694748796554,False,15.279571552992579,True,24.416072655682687,True,5.3547491592981835,True,SMA;right_M1;right_S1;right_PMd,4,0.7;1;0.8;0.6,right_M1,1.0,right_PMd,5.3547491592981835,1.329,0.024788002806297477,0.050946025004397384,0.054946799840805124,0.5178571428571428,0.1742620716928877,0.19853583518616835,0.07732878795310318,0.08340139261550777,0.2747998088793195,0.3196796942069112,0.2888849920881649
pr_AstroSync,exp,14BE,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",51,52,5,last5,0.5909325679338556,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\14BE\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\14BE\EPOCHS_im_rec_calib.hdf,28.603495373804527,71.39650462619548,-52.461339432491506,-62.28002940298315,24.910354854073386,0.008495289987894056,0.635588490869979,0.7719812823648279,9.271700710105375e-06,,51.98944491244922,False,43.41991242634517,False,83.75296090607831,False,67.16580048000557,False,101.27850344758937,False,103.43497387136547,False,101.91621446344526,False,,0,,,0.0,left_S1,43.41991242634517,0.368,0.019216961435480684,0.24873659826217784,0.23041147944294477,0.2142857142857143,0.1680849549246304,0.1545463260373216,0.3020372978897874,0.2797853678950044,0.28603495373804527,0.33765592598087246,0.2919103642212889
pr_AstroSync,exp,14BE,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",52,53,6,last5,0.5945748823278627,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\14BE\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\14BE\EPOCHS_im_rec_calib.hdf,16.065285116524404,83.93471488347559,65.37526661687527,-8.25821764680885,-54.01263537152547,-0.6412023351526728,0.364757186775259,0.6751383266342966,3.954928784662027e-05,,150.42449379900202,False,152.44944027235584,False,129.71451543694792,False,144.29756419813148,False,114.94994537561105,False,110.71489081293244,False,116.18845541801412,False,,0,,,0.0,right_S1,110.71489081293244,0.383,0.10207054173160512,1.0872400947723584,1.1044544100374574,0.1964285714285714,0.1598470868917794,0.1625234490213748,1.3008051133883574,1.3214008120091008,0.16065285116524403,0.0,1.1068148115133527
pr_AstroSync,exp,14BE,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",53,54,7,last5,0.6966454240594678,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\14BE\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\14BE\EPOCHS_im_rec_calib.hdf,75.57585703654239,24.424142963457612,-3.3605328589908363,-66.3369221807756,25.66770984304889,0.9198449856403114,-0.3919510870233333,0.016110486448362722,2.8536172443176088e-05,,61.46379113881228,False,59.21798577647447,False,68.53622652392387,False,70.21643437746046,False,65.28180721188883,False,63.80704788448682,False,72.84728777992483,False,,0,,,0.0,left_S1,59.21798577647447,0.831,0.10207054173160512,0.22091022846281116,0.29674665713275594,0.2321428571428571,0.13883368365793872,0.1907699902902403,0.2721929600702495,0.3656342739671457,0.7557585703654239,1.0,1.1682706660863207
pr_AstroSync,exp,14BE,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",54,55,8,last5,0.7571132196815815,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\14BE\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\14BE\EPOCHS_im_rec_calib.hdf,66.65365188986321,33.34634811013679,20.31271703049602,-69.03260991696408,39.851696769987896,-0.7889599072063153,-0.5785281274660109,0.20699630564740415,2.3440671706449532e-05,,73.89063372646486,False,74.52516764168246,False,68.66642044138918,False,79.49758359443072,False,50.34674269609862,False,46.27595650980693,False,63.599068310297966,False,,0,,,0.0,right_S1,46.27595650980693,1.137,0.06314174261689476,0.03005451213648169,0.0201020272528518,0.3392857142857143,0.12824995538705025,0.06583919779586606,0.04025157875421655,0.02692235792792652,0.6665365188986321,0.9464584302378114,0.15805111672694033
pr_AstroSync,exp,14BE,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",55,56,9,last5,0.8202549622984763,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\14BE\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\14BE\EPOCHS_im_rec_calib.hdf,53.43316926697249,46.56683073302751,-0.09128822670040967,-39.153552170567956,10.800312529213498,-0.41703683502869726,-0.66528268768769,0.6192569932526323,9.904474282386277e-05,,59.68314227703501,False,59.47723839862852,False,57.67995191058004,False,61.58288522914613,False,59.793168311318496,False,59.60602578274246,False,61.66584171595026,False,,0,,,0.0,SMA,57.67995191058004,1.518,0.06314174261689476,0.20892979350650814,0.2077323411042438,0.3214285714285714,0.18496095950531566,0.18727543321594353,0.27608579856217147,0.2745034507448936,0.5343316926697249,0.7349307082715599,1.5416039103043193
