session,record,rank,classifier,band,components,absolute_components,component_assessment_score,balanced accuracy,brier score,probability_plot_brier_score,ranking_score,component_score_values,accuracy,roc-auc,f1,recall,precision,log loss,component_plot,probability_plot,pipeline,sel_comp,TPR,TNR,FPR,FNR,TP,TN,FP,FN,fs,component_score_details
01TG,im_rec_calib.hdf,1,lda,"[9.0, 13.0]","[0, -1]","[0, 55]",5.819,1.0,2.395847909844689e-05,3.6162753888698877e-06,11.637860585610126,"[8.366, 3.272]",1.0,1.0,1.0,1.0,1.0,0.002069515129484228,results\pr_AstroSync\exp\best_band_component_pairs\01TG\im_rec_calib\components\rank_1.png,results\pr_AstroSync\exp\best_band_component_pairs\01TG\im_rec_calib\probabilities\rank_1.png,split_before_csp,"(0, -1)",1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,1000.0,"[{'component': 0, 'contra': 6.368, 'ipsi': 1.998, 'component_score': 8.366}, {'component': -1, 'contra': 2.131, 'ipsi': 1.141, 'component_score': 3.272}]"
01TG,im_rec_calib.hdf,2,lda,"[8.0, 12.0]","[0, 1]","[0, 1]",5.4465,1.0,0.0028349683183070055,0.04981603072406843,10.87755934505434,"[7.96, 2.933]",1.0,1.0,1.0,1.0,1.0,0.020833856784223947,results\pr_AstroSync\exp\best_band_component_pairs\01TG\im_rec_calib\components\rank_2.png,results\pr_AstroSync\exp\best_band_component_pairs\01TG\im_rec_calib\probabilities\rank_2.png,split_before_csp,"(0, 1)",1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,1000.0,"[{'component': 0, 'contra': 5.861, 'ipsi': 2.099, 'component_score': 7.96}, {'component': 1, 'contra': 0.821, 'ipsi': 2.112, 'component_score': 2.933}]"
01TG,im_rec_calib.hdf,3,lda,"[9.0, 13.0]","[0, 1]","[0, 1]",5.307,1.0,0.008148230012375813,0.027385107564559724,10.570757343324322,"[8.366, 2.248]",1.0,1.0,1.0,1.0,1.0,0.03433399925180631,results\pr_AstroSync\exp\best_band_component_pairs\01TG\im_rec_calib\components\rank_3.png,results\pr_AstroSync\exp\best_band_component_pairs\01TG\im_rec_calib\probabilities\rank_3.png,split_before_csp,"(0, 1)",1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,1000.0,"[{'component': 0, 'contra': 6.368, 'ipsi': 1.998, 'component_score': 8.366}, {'component': 1, 'contra': 0.668, 'ipsi': 1.58, 'component_score': 2.248}]"
01TG,qm_rec_calib.hdf,1,lda,"[9.0, 13.0]","[0, -1]","[0, 55]",2.0505,0.6666666666666666,0.2543079062242804,0.02957791142514573,3.5795416382871132,"[2.851, 1.25]",0.6666666666666666,0.7733333333333333,0.708994708994709,0.7333333333333334,0.7314814814814815,1.2380191703929244,results\pr_AstroSync\exp\best_band_component_pairs\01TG\qm_rec_calib\components\rank_1.png,results\pr_AstroSync\exp\best_band_component_pairs\01TG\qm_rec_calib\probabilities\rank_1.png,split_before_csp,"(0, -1)",0.7333333333333334,0.6,0.39999999999999997,0.26666666666666666,3.6666666666666665,3.0,2.0,1.3333333333333333,1000.0,"[{'component': 0, 'contra': 1.779, 'ipsi': 1.072, 'component_score': 2.851}, {'component': -1, 'contra': 0.369, 'ipsi': 0.881, 'component_score': 1.25}]"
01TG,qm_rec_calib.hdf,2,lda,"[9.0, 13.0]","[0, 1]","[0, 1]",2.085,0.6666666666666666,0.3098394228370311,0.1881152623772791,3.52398480338479,"[2.851, 1.319]",0.6666666666666666,0.6933333333333334,0.7252525252525253,0.8666666666666667,0.6444444444444445,2.012028182442847,results\pr_AstroSync\exp\best_band_component_pairs\01TG\qm_rec_calib\components\rank_2.png,results\pr_AstroSync\exp\best_band_component_pairs\01TG\qm_rec_calib\probabilities\rank_2.png,split_before_csp,"(0, 1)",0.8666666666666667,0.4666666666666666,0.5333333333333333,0.13333333333333333,4.333333333333333,2.3333333333333335,2.6666666666666665,0.6666666666666666,1000.0,"[{'component': 0, 'contra': 1.779, 'ipsi': 1.072, 'component_score': 2.851}, {'component': 1, 'contra': 0.59, 'ipsi': 0.729, 'component_score': 1.319}]"
01TG,qm_rec_calib.hdf,3,lda,"[10.0, 14.0]","[0, 1]","[0, 1]",1.8895,0.6333333333333333,0.3061306388984398,0.19044402909113756,3.200566157801398,"[2.702, 1.077]",0.6333333333333333,0.7733333333333334,0.7186147186147186,0.9333333333333332,0.5925925925925926,5.346788286779522,results\pr_AstroSync\exp\best_band_component_pairs\01TG\qm_rec_calib\components\rank_3.png,results\pr_AstroSync\exp\best_band_component_pairs\01TG\qm_rec_calib\probabilities\rank_3.png,split_before_csp,"(0, 1)",0.9333333333333332,0.3333333333333333,0.6666666666666666,0.06666666666666667,4.666666666666667,1.6666666666666667,3.3333333333333335,0.3333333333333333,1000.0,"[{'component': 0, 'contra': 1.737, 'ipsi': 0.965, 'component_score': 2.702}, {'component': 1, 'contra': 0.35, 'ipsi': 0.727, 'component_score': 1.077}]"
02ES,im_rec_calib.hdf,1,lda,"[8.0, 12.0]","[0, -1]","[0, 55]",12.8095,1.0,0.0038645076917953967,0.015348317337935796,25.569497588721948,"[14.743, 10.876]",1.0,1.0,1.0,1.0,1.0,0.015550143710346727,results\pr_AstroSync\exp\best_band_component_pairs\02ES\im_rec_calib\components\rank_1.png,results\pr_AstroSync\exp\best_band_component_pairs\02ES\im_rec_calib\probabilities\rank_1.png,split_before_csp,"(0, -1)",1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,1000.0,"[{'component': 0, 'contra': 12.808, 'ipsi': 1.935, 'component_score': 14.743}, {'component': -1, 'contra': 4.481, 'ipsi': 6.395, 'component_score': 10.876}]"
02ES,im_rec_calib.hdf,2,lda,"[9.0, 13.0]","[0, -1]","[0, 55]",12.5275,1.0,4.6747155556983254e-05,0.0035771299520360295,25.05441437500876,"[14.212, 10.843]",1.0,1.0,1.0,1.0,1.0,0.002028912459668049,results\pr_AstroSync\exp\best_band_component_pairs\02ES\im_rec_calib\components\rank_2.png,results\pr_AstroSync\exp\best_band_component_pairs\02ES\im_rec_calib\probabilities\rank_2.png,split_before_csp,"(0, -1)",1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,1000.0,"[{'component': 0, 'contra': 12.387, 'ipsi': 1.825, 'component_score': 14.212}, {'component': -1, 'contra': 4.205, 'ipsi': 6.638, 'component_score': 10.843}]"
02ES,im_rec_calib.hdf,3,lda,"[8.0, 15.0]","[0, -1]","[0, 55]",11.2235,1.0,0.0019414146657254884,0.012910353316084425,22.42521053249923,"[12.454999999999998, 9.992]",1.0,1.0,1.0,1.0,1.0,0.009781009508806693,results\pr_AstroSync\exp\best_band_component_pairs\02ES\im_rec_calib\components\rank_3.png,results\pr_AstroSync\exp\best_band_component_pairs\02ES\im_rec_calib\probabilities\rank_3.png,split_before_csp,"(0, -1)",1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,1000.0,"[{'component': 0, 'contra': 10.934, 'ipsi': 1.521, 'component_score': 12.454999999999998}, {'component': -1, 'contra': 4.09, 'ipsi': 5.902, 'component_score': 9.992}]"
02ES,qm_rec_calib.hdf,1,lda,"[8.0, 12.0]","[0, -1]","[0, 55]",11.8765,0.9666666666666667,0.03328671315866288,0.019163097204767904,23.35767035117114,"[13.166, 10.587]",0.9666666666666667,0.9866666666666667,0.9629629629629629,0.9333333333333332,1.0,0.22827401616089849,results\pr_AstroSync\exp\best_band_component_pairs\02ES\qm_rec_calib\components\rank_1.png,results\pr_AstroSync\exp\best_band_component_pairs\02ES\qm_rec_calib\probabilities\rank_1.png,split_before_csp,"(0, -1)",0.9333333333333332,1.0,0.0,0.06666666666666667,4.666666666666667,5.0,0.0,0.3333333333333333,1000.0,"[{'component': 0, 'contra': 11.053, 'ipsi': 2.113, 'component_score': 13.166}, {'component': -1, 'contra': 4.468, 'ipsi': 6.119, 'component_score': 10.587}]"
